Company Name,Company overview,Company industry,Our key skills,combined_text,preprocessed_text
Nanosoft,"Giá trị mang lại niềm tin
Công ty cổ phần công nghệ NANOSOFT được thành lập mong muốn trở thành ĐỐI TÁC TIN CẬY của tất cả các doanh nghiệp trong việc THIẾT KẾ, XÂY DỰNG và DUY TRÌ các hệ thống thống tin một cách hiệu quả nhất. Qua nhiều năm phát triển và lớn mạnh, công ty chúng tôi đã tạo lập được uy tín vững vàng trên thị trường. Nanosoft đã và đang trở thành cái tên quen thuộc của rất nhiều quý khách hàng.
Cung cấp các giải pháp phần mềm.
Tư vấn thiết kế và xây dựng các giải pháp phần mềm.
Tư vấn, sản xuất, triển khai,giám sát, thi công các hệ thống công nghệ thông tin.
Thiết kế website, dich vụ đăng ký tên miền trên trang web, lưu trữ thông tin, hosting.
Cung cấp các dịch vụ hệ thống thông tin cho thị trường nước ngoài.
Kinh doanh thương mại điện tử và Dịch vụ trực tuyến.
Tư vấn giám sát triển khai ứng dụng CNTT.",Software Development Outsourcing,"Our Key Skills
SQL
.NET
C#
ASP.NET
MVC
HTML5","Giá trị mang lại niềm tin
Công ty cổ phần công nghệ NANOSOFT được thành lập mong muốn trở thành ĐỐI TÁC TIN CẬY của tất cả các doanh nghiệp trong việc THIẾT KẾ, XÂY DỰNG và DUY TRÌ các hệ thống thống tin một cách hiệu quả nhất. Qua nhiều năm phát triển và lớn mạnh, công ty chúng tôi đã tạo lập được uy tín vững vàng trên thị trường. Nanosoft đã và đang trở thành cái tên quen thuộc của rất nhiều quý khách hàng.
Cung cấp các giải pháp phần mềm.
Tư vấn thiết kế và xây dựng các giải pháp phần mềm.
Tư vấn, sản xuất, triển khai,giám sát, thi công các hệ thống công nghệ thông tin.
Thiết kế website, dich vụ đăng ký tên miền trên trang web, lưu trữ thông tin, hosting.
Cung cấp các dịch vụ hệ thống thông tin cho thị trường nước ngoài.
Kinh doanh thương mại điện tử và Dịch vụ trực tuyến.
Tư vấn giám sát triển khai ứng dụng CNTT. Software Development Outsourcing Our Key Skills
SQL
.NET
C#
ASP.NET
MVC
HTML5",gi tr mang li nim tin cng ty c phn cng ngh nanosoft c thnh lp mong mun tr thnh tc tin cy ca tt c cc doanh nghip trong vic thit k xy dng v duy tr cc h thng thng tin mt cch hiu qu nht qua nhiu nm pht trin v ln mnh cng ty chng ti lp c uy tn vng vng trn th trng nanosoft v ang tr thnh ci tn quen thuc ca rt nhiu qu khch hng cung cp cc gii php phn mm t vn thit k v xy dng cc gii php phn mm t vn sn xut trin khaigim st thi cng cc h thng cng ngh thng tin thit k website dich v ng k tn min trn trang web lu tr thng tin hosting cung cp cc dch v h thng thng tin cho th trng nc ngoi kinh doanh thng mi t v dch v trc tuyn t vn gim st trin khai ng dng cntt software development outsourcing key sql net c aspnet mvc html
NashTech,"Global software, offshore development and IT company.
ABOUT NASHTECH
NashTech is part of Nash Squared, the leading global provider of talent and technology solutions.
We’re equipped with a unique network, that realises the potential where people and technology meet.
The world is changing. As digital becomes pervasive, the boundaries blur between business, technology and markets.
For over three decades we’ve been helping clients solve broad and complex problems, building and scaling their technology and digital capability:
We connect organisations with the very best global talent
We apply technology expertise to solve complex problems
We identify and develop the best global leaders
We build your capabilities and technology capacity
Our network spans 3,000 colleagues across 19 countries and provides a uniquely broad range of service capabilities, from recruitment and workforce management, to software development and technology solutions. We bring these together, to solve the unique challenges of our clients both now, and in the future.
Visit NashSquared.com to find out more.
 ",Software Development Outsourcing,"Our Key Skills
.NET
Java
QA QC
PHP
Business Analyst
ReactJS
Python
Manual / Automation Test
Frontend (Angular/ReactJS/VueJS)
Mobile (Native App and Cross platform)
Microservice
Cloud computing","Global software, offshore development and IT company.
ABOUT NASHTECH
NashTech is part of Nash Squared, the leading global provider of talent and technology solutions.
We’re equipped with a unique network, that realises the potential where people and technology meet.
The world is changing. As digital becomes pervasive, the boundaries blur between business, technology and markets.
For over three decades we’ve been helping clients solve broad and complex problems, building and scaling their technology and digital capability:
We connect organisations with the very best global talent
We apply technology expertise to solve complex problems
We identify and develop the best global leaders
We build your capabilities and technology capacity
Our network spans 3,000 colleagues across 19 countries and provides a uniquely broad range of service capabilities, from recruitment and workforce management, to software development and technology solutions. We bring these together, to solve the unique challenges of our clients both now, and in the future.
Visit NashSquared.com to find out more.
  Software Development Outsourcing Our Key Skills
.NET
Java
QA QC
PHP
Business Analyst
ReactJS
Python
Manual / Automation Test
Frontend (Angular/ReactJS/VueJS)
Mobile (Native App and Cross platform)
Microservice
Cloud computing",global software offshore development nashtech nashtech nash squared leading global provider talent technology solutions equipped unique network realises potential people technology meet world changing digital pervasive boundaries blur business technology markets decades weve helping clients solve broad complex problems building scaling technology digital capability connect organisations best global talent apply technology expertise solve complex problems identify develop best global leaders build capabilities technology capacity network spans colleagues countries provides uniquely broad range service capabilities recruitment workforce management software development technology solutions bring solve unique challenges clients future visit nashsquaredcom software development outsourcing key net java qa qc php business analyst reactjs python manual automation test frontend angularreactjsvuejs mobile native app cross platform microservice cloud computing
NAVER VIETNAM,"NAVER VIETNAM
NAVER Co., Ltd. is a global brand that provides a range of services, including the largest web search engine in South Korea, the LINE messenger app with over 200 million users worldwide, the SNOW video app, the digital comics platform NAVER WEBTOON, and more. In 2018, NAVER was recognized as the 9th most innovative company in the world by Forbes and was listed as a top 6 Future 50 company by Fortune magazine.
 In 2021, NAVER's expansion in Vietnam has been aimed at tapping into the country's growing Information Technology market by initially partnering with two leading universities in Hanoi. This year, the NAVER Vietnam Development Center (NVDC) was established in Ho Chi Minh City. The company continues to uphold the core values of ""Autonomy - Challenge - Teamwork"" and is dedicated to becoming one of the strongest development centers in Asia. 
 In both 2023 and 2025, NAVER Vietnam achieved a remarkable feat by being honored as the Best IT Company in Vietnam by ITViec.com. Winning this prestigious award just a year after establishing our tech hub—and securing the title again in 2025—marks a significant milestone in NAVER’s journey of continuous growth and innovation.",Software Products and Web Services,"Swift
Java
JavaScript
C language
ReactJS
Kotlin","NAVER VIETNAM
NAVER Co., Ltd. is a global brand that provides a range of services, including the largest web search engine in South Korea, the LINE messenger app with over 200 million users worldwide, the SNOW video app, the digital comics platform NAVER WEBTOON, and more. In 2018, NAVER was recognized as the 9th most innovative company in the world by Forbes and was listed as a top 6 Future 50 company by Fortune magazine.
 In 2021, NAVER's expansion in Vietnam has been aimed at tapping into the country's growing Information Technology market by initially partnering with two leading universities in Hanoi. This year, the NAVER Vietnam Development Center (NVDC) was established in Ho Chi Minh City. The company continues to uphold the core values of ""Autonomy - Challenge - Teamwork"" and is dedicated to becoming one of the strongest development centers in Asia. 
 In both 2023 and 2025, NAVER Vietnam achieved a remarkable feat by being honored as the Best IT Company in Vietnam by ITViec.com. Winning this prestigious award just a year after establishing our tech hub—and securing the title again in 2025—marks a significant milestone in NAVER’s journey of continuous growth and innovation. Software Products and Web Services Swift
Java
JavaScript
C language
ReactJS
Kotlin",naver vietnam naver global brand provides range services including largest web search engine south korea line messenger app million users worldwide snow video app digital comics platform naver webtoon naver recognized th innovative world forbes listed future fortune magazine navers expansion vietnam aimed tapping countrys growing information technology market initially partnering leading universities hanoi year naver vietnam development center nvdc established ho chi minh city continues uphold core values autonomy challenge teamwork dedicated strongest development centers asia naver vietnam achieved remarkable feat honored best vietnam itvieccom winning prestigious award just year establishing tech huband securing title marks significant milestone navers journey continuous growth innovation software products web services swift java javascript c language reactjs kotlin
Neos Việt Nam,"Neos VN là công ty IT 100% vốn Nhật Bản chuyên sản xuất phát triển phần mềm mobile, website
Sản xuất và phát triển ứng dụng Website.. Neos Việt Nam thuộc Neos Corporation tại Nhật Bản – là đối tác của những tập đoàn lớn như NTT Docomo , Sharp, KDDI.
Hiện tại Neos Vietnam đang có kế hoạch mở rộng quy mô công ty nên chúng tôi đang tìm kiếm những ứng viên nhiệt tình, có tính sáng tạo cao và tài năng để gia nhập đội ngũ nhân sự chủ chốt của công ty.",Software Development Outsourcing,"Bridge Engineer
Flutter
PHP
JavaScript
Python
Swift","Neos VN là công ty IT 100% vốn Nhật Bản chuyên sản xuất phát triển phần mềm mobile, website
Sản xuất và phát triển ứng dụng Website.. Neos Việt Nam thuộc Neos Corporation tại Nhật Bản – là đối tác của những tập đoàn lớn như NTT Docomo , Sharp, KDDI.
Hiện tại Neos Vietnam đang có kế hoạch mở rộng quy mô công ty nên chúng tôi đang tìm kiếm những ứng viên nhiệt tình, có tính sáng tạo cao và tài năng để gia nhập đội ngũ nhân sự chủ chốt của công ty. Software Development Outsourcing Bridge Engineer
Flutter
PHP
JavaScript
Python
Swift",neos vn l cng ty vn nht bn chuyn sn xut pht trin phn mm mobile website sn xut v pht trin ng dng website neos vit nam thuc neos corporation ti nht bn l tc ca nhng tp ln nh ntt docomo sharp kddi hin ti neos vietnam ang c k hoch m rng quy m cng ty nn chng ti ang tm kim nhng ng vin nhit tnh c tnh sng cao v ti nng gia nhp ng nhn s ch cht ca cng ty software development outsourcing bridge engineer flutter php javascript python swift
NEW IT,"Orchestration is not enough
Specialists in linear and nonlinear programing, as every automation requires intelligence and optimization to reach its potential",Software Products and Web Services,,"Orchestration is not enough
Specialists in linear and nonlinear programing, as every automation requires intelligence and optimization to reach its potential Software Products and Web Services ",orchestration specialists linear nonlinear programing automation requires intelligence optimization reach potential software products web services
New Ocean IS,"NOIS focuses on .NET, Azure, DevOps, Kubernetes, Microservice, Big Data & manufacturing solutions.
New Ocean IS have been in business since 2010 with the outsourcing services target. New Ocean IS is a Microsoft Partner Gold Cloud Platform,Gold Application Development, Silver Data Analytics and also a Cloud Solution Provider with 20+ developers with MCP/MCSA/MCSD for Application Development and Cloud Platform

New Ocean IS apply Agile spirit to every corner of the development process to achieve quick delivery and satisfy clients.
We mainly focus on Azure cloud-based software solutions and Data Analytics including
- Data Analytics (ETL, Power BI, Data Warehouse, Azure Databrick, Azure Data Factory, Python, R), Machine Learning, and Big Data - ASP.NET MVC, ASP.NET Core, Web API
- Microsoft Graph API and O365 Integration (Azure AD, SharePoint, OneDrive, Outlook/Exchange, Power Apps)
- Azure cloud services (Hosting, VM, SQL, CDN, Caching, Searching, Worker, Blob Storage, Mongolab, Notification Hubs, Traffic manager, Power BI, IoT, Machine Learning, Stream Analytics, etc.)
- Azure-based IoT, Stream Analytics, Big Data, Power BI Embedded - AngularJS, Angular 2/4/6/8, ReactJS, Vue.js, RequireJS, BackbornJS
- Mobile development (Android, iOS, React Native, Xamarin, Ionic, Ionic 2)",Software Development Outsourcing,"Our Key Skills
ASP.NET
JavaScript
.NET
C#
AngularJS
React Native
JavaScript, HTML5, AngularJS, AngularJS 2, Ionic, CordovaASP.NET MVC, .NET, C#, Azure, IoT, Machine Learning, Artficial IntelligenceCloud-based Enterprise Solutions","NOIS focuses on .NET, Azure, DevOps, Kubernetes, Microservice, Big Data & manufacturing solutions.
New Ocean IS have been in business since 2010 with the outsourcing services target. New Ocean IS is a Microsoft Partner Gold Cloud Platform,Gold Application Development, Silver Data Analytics and also a Cloud Solution Provider with 20+ developers with MCP/MCSA/MCSD for Application Development and Cloud Platform

New Ocean IS apply Agile spirit to every corner of the development process to achieve quick delivery and satisfy clients.
We mainly focus on Azure cloud-based software solutions and Data Analytics including
- Data Analytics (ETL, Power BI, Data Warehouse, Azure Databrick, Azure Data Factory, Python, R), Machine Learning, and Big Data - ASP.NET MVC, ASP.NET Core, Web API
- Microsoft Graph API and O365 Integration (Azure AD, SharePoint, OneDrive, Outlook/Exchange, Power Apps)
- Azure cloud services (Hosting, VM, SQL, CDN, Caching, Searching, Worker, Blob Storage, Mongolab, Notification Hubs, Traffic manager, Power BI, IoT, Machine Learning, Stream Analytics, etc.)
- Azure-based IoT, Stream Analytics, Big Data, Power BI Embedded - AngularJS, Angular 2/4/6/8, ReactJS, Vue.js, RequireJS, BackbornJS
- Mobile development (Android, iOS, React Native, Xamarin, Ionic, Ionic 2) Software Development Outsourcing Our Key Skills
ASP.NET
JavaScript
.NET
C#
AngularJS
React Native
JavaScript, HTML5, AngularJS, AngularJS 2, Ionic, CordovaASP.NET MVC, .NET, C#, Azure, IoT, Machine Learning, Artficial IntelligenceCloud-based Enterprise Solutions",nois focuses net azure devops kubernetes microservice big data manufacturing solutions new ocean business outsourcing services target new ocean microsoft partner gold cloud platformgold application development silver data analytics cloud solution provider developers mcpmcsamcsd application development cloud platform new ocean apply agile spirit corner development process achieve quick delivery satisfy clients mainly focus azure cloudbased software solutions data analytics including data analytics etl power bi data warehouse azure databrick azure data factory python r machine learning big data aspnet mvc aspnet core web api microsoft graph api o integration azure ad sharepoint onedrive outlookexchange power apps azure cloud services hosting vm sql cdn caching searching worker blob storage mongolab notification hubs traffic manager power bi iot machine learning stream analytics azurebased iot stream analytics big data power bi embedded angularjs angular reactjs vuejs requirejs backbornjs mobile development android ios react native xamarin ionic ionic software development outsourcing key aspnet javascript net c angularjs react native javascript html angularjs angularjs ionic cordovaaspnet mvc net c azure iot machine learning artficial intelligencecloudbased enterprise solutions
NEXON DEV VINA,"NEXON DEV VINA
NEXON DEV VINA is a startup game development company in Vietnam. As a proud member of the Nexon Company Group, we have expertise in online game development on vast different programs to provide the best gaming experience to global users.
The basis and strength behind our rapid growth worldwide derive from our employees. We are expecting passionate, self-challenging and eager individuals to apply and join our journey to success.
 NEXON Group currently services nearly 100 titles (MapleStory, Dungeon & Fighter, Sudden Attack, KartRider, FIFA ONLINE 4, V4, AXE …) in more than 190 countries and expanding worldwide team of over 6,500 employees with boasts a diverse global portfolio. 
Nexon is well known as the No.1 game company in Korea and is looking ahead to entering the world's top 10 game companies this year. 
To know more about us, please check:
Website: https://company.nexon.com/en/
LinkedIn: https://www.linkedin.com/company/nexon-dev-vina/
Labs Tech Blog: https://labstechblog.oopy.io/ 
Nexon IR information: https://ir.nexon.co.jp/kr  ",Game,"Our main skills
Java
ReactJS
NodeJS
Spring
JavaScript
CSS","NEXON DEV VINA
NEXON DEV VINA is a startup game development company in Vietnam. As a proud member of the Nexon Company Group, we have expertise in online game development on vast different programs to provide the best gaming experience to global users.
The basis and strength behind our rapid growth worldwide derive from our employees. We are expecting passionate, self-challenging and eager individuals to apply and join our journey to success.
 NEXON Group currently services nearly 100 titles (MapleStory, Dungeon & Fighter, Sudden Attack, KartRider, FIFA ONLINE 4, V4, AXE …) in more than 190 countries and expanding worldwide team of over 6,500 employees with boasts a diverse global portfolio. 
Nexon is well known as the No.1 game company in Korea and is looking ahead to entering the world's top 10 game companies this year. 
To know more about us, please check:
Website: https://company.nexon.com/en/
LinkedIn: https://www.linkedin.com/company/nexon-dev-vina/
Labs Tech Blog: https://labstechblog.oopy.io/ 
Nexon IR information: https://ir.nexon.co.jp/kr   Game Our main skills
Java
ReactJS
NodeJS
Spring
JavaScript
CSS",nexon dev vina nexon dev vina startup game development vietnam proud member nexon group expertise online game development vast different programs provide best gaming experience global users basis strength rapid growth worldwide derive employees expecting passionate selfchallenging eager individuals apply join journey success nexon group currently services nearly titles maplestory dungeon fighter sudden attack kartrider fifa online v axe countries expanding worldwide team employees boasts diverse global portfolio nexon known game korea looking ahead entering worlds game companies year know check website httpscompanynexoncomen linkedin httpswwwlinkedincomcompanynexondevvina labs tech blog httpslabstechblogoopyio nexon ir information httpsirnexoncojpkr game main java reactjs nodejs spring javascript css
Nexsoft Technology,"Nexsoft Technology - Chìa khóa mở cánh cửa công nghệ.
Giới thiệu về Công ty Nexsoft Technology  
Nexsoft Technology là một công ty công nghệ hàng đầu chuyên cung cấp các giải pháp phần mềm và dịch vụ công nghệ thông tin toàn diện. Với mục tiêu đổi mới và tối ưu hóa hiệu suất, Nexsoft Technology không ngừng nỗ lực để mang lại giá trị tối ưu cho khách hàng và đối tác. 
Tầm nhìn Trở thành đối tác công nghệ đáng tin cậy, cung cấp các giải pháp số hóa tiên tiến nhằm thúc đẩy sự phát triển bền vững cho các doanh nghiệp trong kỷ nguyên số. 
Sứ mệnh Phát triển các sản phẩm phần mềm chất lượng cao, đáp ứng nhu cầu thực tế của doanh nghiệp. Tạo ra môi trường làm việc năng động, sáng tạo cho đội ngũ nhân viên. Hỗ trợ khách hàng trong việc chuyển đổi số, tối ưu hóa quy trình vận hành và tăng cường năng lực cạnh tranh.",IT Services and IT Consulting,"Golang
Tester
DevOps
Blockchain
Python
QA QC","Nexsoft Technology - Chìa khóa mở cánh cửa công nghệ.
Giới thiệu về Công ty Nexsoft Technology  
Nexsoft Technology là một công ty công nghệ hàng đầu chuyên cung cấp các giải pháp phần mềm và dịch vụ công nghệ thông tin toàn diện. Với mục tiêu đổi mới và tối ưu hóa hiệu suất, Nexsoft Technology không ngừng nỗ lực để mang lại giá trị tối ưu cho khách hàng và đối tác. 
Tầm nhìn Trở thành đối tác công nghệ đáng tin cậy, cung cấp các giải pháp số hóa tiên tiến nhằm thúc đẩy sự phát triển bền vững cho các doanh nghiệp trong kỷ nguyên số. 
Sứ mệnh Phát triển các sản phẩm phần mềm chất lượng cao, đáp ứng nhu cầu thực tế của doanh nghiệp. Tạo ra môi trường làm việc năng động, sáng tạo cho đội ngũ nhân viên. Hỗ trợ khách hàng trong việc chuyển đổi số, tối ưu hóa quy trình vận hành và tăng cường năng lực cạnh tranh. IT Services and IT Consulting Golang
Tester
DevOps
Blockchain
Python
QA QC",nexsoft technology cha kha m cnh ca cng ngh gii thiu v cng ty nexsoft technology nexsoft technology l mt cng ty cng ngh hng u chuyn cung cp cc gii php phn mm v dch v cng ngh thng tin ton din vi mc tiu mi v ti u ha hiu sut nexsoft technology khng ngng n lc mang li gi tr ti u cho khch hng v tc tm nhn tr thnh tc cng ngh ng tin cy cung cp cc gii php s ha tin tin nhm thc y s pht trin bn vng cho cc doanh nghip trong k nguyn s s mnh pht trin cc sn phm phn mm cht lng cao p ng nhu cu thc t ca doanh nghip ra mi trng lm vic nng ng sng cho ng nhn vin h tr khch hng trong vic chuyn s ti u ha quy trnh vn hnh v tng cng nng lc cnh tranh services consulting golang tester devops blockchain python qa qc
Next Chain Tech,"We always trust the value of your plans by creating the valuable products
Next Chain Tech Co., LTD is startup company and we focus on developing and providing all kinds of software to clients all over the world.

Our main market is outbound market that we believe that we can expand more business services to product to all over the world.

We are not only developing the outsourcing projects but also developing some kinds of in-house products.

Please access our website to know more","AI, Blockchain and Deep Tech Services","Our Tech stack
ReactJS
NodeJS
Java
Cloud
Flutter
DevOps
We Use Java, React Js, Node Js, Java, Cloud, Flutter","We always trust the value of your plans by creating the valuable products
Next Chain Tech Co., LTD is startup company and we focus on developing and providing all kinds of software to clients all over the world.

Our main market is outbound market that we believe that we can expand more business services to product to all over the world.

We are not only developing the outsourcing projects but also developing some kinds of in-house products.

Please access our website to know more AI, Blockchain and Deep Tech Services Our Tech stack
ReactJS
NodeJS
Java
Cloud
Flutter
DevOps
We Use Java, React Js, Node Js, Java, Cloud, Flutter",trust value plans creating valuable products chain tech startup focus developing providing kinds software clients world main market outbound market believe expand business services product world developing outsourcing projects developing kinds inhouse products access website know ai blockchain deep tech services tech stack reactjs nodejs java cloud flutter devops use java react js node js java cloud flutter
"NEYU Ltd.,","NEYU Ltd.,
At Neyu, we are building platforms that empower businesses and individuals to share their values with billions worldwide through products and services. We believe that serving others unlocks happiness, health, and more meaningful lives. As a rapidly expanding MarTech company, we operate across Asia—including Thailand, Vietnam, Malaysia, the Philippines, Indonesia, and India—and are extending our reach into Latin America. 
Recognizing opportunities to unlock untapped potential, Neyu Corporation drives growth through innovation, digital platforms, and advanced marketing technology. Our group, a top-ranked direct sales company in Southeast Asia, has over 1,400 team members with a strong presence in these regions. 
Through our e-commerce platforms, we create and sell healthcare and pharmaceutical products, particularly within the Nutra niche. Combining core marketing principles with advanced IT, we see limitless opportunities ahead. If you are eager to participate in international projects, gain unique skills, and learn from top leaders, Neyu is the right place for you.",Software Products and Web Services,"Tech stacks we are working with
Java
Golang
DevOps
MySQL
PostgreSql
OOP
Java, Golang, JavaScript
HTML, CSS
MySQL, PostgreSQL, MongoDB
Redis, Elasticsearch
Microservice Architecture, RESTful APIs
Asterisk PABX
Methodology: Scrum Agile
And many more stacks that you can join to work with us for future applications.","NEYU Ltd.,
At Neyu, we are building platforms that empower businesses and individuals to share their values with billions worldwide through products and services. We believe that serving others unlocks happiness, health, and more meaningful lives. As a rapidly expanding MarTech company, we operate across Asia—including Thailand, Vietnam, Malaysia, the Philippines, Indonesia, and India—and are extending our reach into Latin America. 
Recognizing opportunities to unlock untapped potential, Neyu Corporation drives growth through innovation, digital platforms, and advanced marketing technology. Our group, a top-ranked direct sales company in Southeast Asia, has over 1,400 team members with a strong presence in these regions. 
Through our e-commerce platforms, we create and sell healthcare and pharmaceutical products, particularly within the Nutra niche. Combining core marketing principles with advanced IT, we see limitless opportunities ahead. If you are eager to participate in international projects, gain unique skills, and learn from top leaders, Neyu is the right place for you. Software Products and Web Services Tech stacks we are working with
Java
Golang
DevOps
MySQL
PostgreSql
OOP
Java, Golang, JavaScript
HTML, CSS
MySQL, PostgreSQL, MongoDB
Redis, Elasticsearch
Microservice Architecture, RESTful APIs
Asterisk PABX
Methodology: Scrum Agile
And many more stacks that you can join to work with us for future applications.",neyu neyu building platforms empower businesses individuals share values billions worldwide products services believe serving unlocks happiness health meaningful lives rapidly expanding martech operate asiaincluding thailand vietnam malaysia philippines indonesia indiaand extending reach latin america recognizing opportunities unlock untapped potential neyu corporation drives growth innovation digital platforms advanced marketing technology group topranked direct sales southeast asia team members strong presence regions ecommerce platforms create sell healthcare pharmaceutical products particularly nutra niche combining core marketing principles advanced limitless opportunities ahead eager participate international projects gain unique learn leaders neyu right place software products web services tech stacks working java golang devops mysql postgresql oop java golang javascript html css mysql postgresql mongodb redis elasticsearch microservice architecture restful apis asterisk pabx methodology scrum agile stacks join work future applications
Ngân hàng TMCP Lộc Phát Việt Nam LPBank,"Hoạt động trong lĩnh vực Ngân hàng TMCP tại Việt Nam
LPBank tiền thân là Ngân hàng Thương mại Cổ phần Liên Việt (LienVietBank) được thành lập theo Giấy phép thành lập và hoạt động số 91/GP-NHNN ngày 28/03/2008 của Thống đốc Ngân hàng Nhà nước Việt Nam.
Ngày 12/5/2023 Ngân hàng Nhà nước Việt Nam ra Quyết định số 899/QĐ-NHNN cho phép Ngân hàng TMCP Lộc Phát Việt Nam đổi tên viết tắt tiếng Anh thành LPBank.
Hiện nay, với số vốn điều lệ hơn 25.576 tỷ đồng mạng lưới phủ khắp 63 tỉnh thành toàn quốc, cùng nguồn lực mạnh mẽ hơn 12.000 nhân sự, LPBank là một trong các Ngân hàng Thương mại cổ phần lớn nhất Việt Nam. 
Nền tảng công nghệ hiện đại, tiềm lực tài chính vững mạnh và đội ngũ nhân sự chuyên nghiệp, giàu kinh nghiệm chuyên môn cùng với tinh thần nhiệt huyết, LPBank đang trên con đường xây dựng để trở thành Ngân hàng Thương mại cổ phần hàng đầu và hướng tới phát triển thành một tập đoàn Dịch vụ Tài chính – Ngân hàng lớn mạnh của Việt Nam.
LPBank luôn coi nguồn nhân lực là yếu tố cốt lõi và là tài sản quý giá của Ngân hàng. Vì vậy, LPBank không chỉ đảm bảo một công việc mà cao hơn là một sự nghiệp với những ai đến với Ngân hàng bằng tinh thần học hỏi, tinh thần phấn đấu xây dựng và nỗ lực cống hiến.
Thông tin chi tiết:
- Khẩu hiệu: Ngân hàng của mọi người
- Ngày thành lập: 28/03/2008
- Số đăng ký: 6300048368
- Trụ sở chính: LPB Tower, 210 Trần Quang Khải, Tràng Tiền, Hoàn Kiếm, Hà Nội
- Lãnh đạo: Nguyễn Đức Thụy - Chủ tịch HĐQT; Hồ Nam Tiến - Tổng Giám đốc
- Email: tuyendung@lpbank.com.vn
- Số điện thoại:  024 62 668 668/ 1800 67 77 58",Banking,"Our Key Skills
Oracle
Security
Database
iOS
SQL
English","Hoạt động trong lĩnh vực Ngân hàng TMCP tại Việt Nam
LPBank tiền thân là Ngân hàng Thương mại Cổ phần Liên Việt (LienVietBank) được thành lập theo Giấy phép thành lập và hoạt động số 91/GP-NHNN ngày 28/03/2008 của Thống đốc Ngân hàng Nhà nước Việt Nam.
Ngày 12/5/2023 Ngân hàng Nhà nước Việt Nam ra Quyết định số 899/QĐ-NHNN cho phép Ngân hàng TMCP Lộc Phát Việt Nam đổi tên viết tắt tiếng Anh thành LPBank.
Hiện nay, với số vốn điều lệ hơn 25.576 tỷ đồng mạng lưới phủ khắp 63 tỉnh thành toàn quốc, cùng nguồn lực mạnh mẽ hơn 12.000 nhân sự, LPBank là một trong các Ngân hàng Thương mại cổ phần lớn nhất Việt Nam. 
Nền tảng công nghệ hiện đại, tiềm lực tài chính vững mạnh và đội ngũ nhân sự chuyên nghiệp, giàu kinh nghiệm chuyên môn cùng với tinh thần nhiệt huyết, LPBank đang trên con đường xây dựng để trở thành Ngân hàng Thương mại cổ phần hàng đầu và hướng tới phát triển thành một tập đoàn Dịch vụ Tài chính – Ngân hàng lớn mạnh của Việt Nam.
LPBank luôn coi nguồn nhân lực là yếu tố cốt lõi và là tài sản quý giá của Ngân hàng. Vì vậy, LPBank không chỉ đảm bảo một công việc mà cao hơn là một sự nghiệp với những ai đến với Ngân hàng bằng tinh thần học hỏi, tinh thần phấn đấu xây dựng và nỗ lực cống hiến.
Thông tin chi tiết:
- Khẩu hiệu: Ngân hàng của mọi người
- Ngày thành lập: 28/03/2008
- Số đăng ký: 6300048368
- Trụ sở chính: LPB Tower, 210 Trần Quang Khải, Tràng Tiền, Hoàn Kiếm, Hà Nội
- Lãnh đạo: Nguyễn Đức Thụy - Chủ tịch HĐQT; Hồ Nam Tiến - Tổng Giám đốc
- Email: tuyendung@lpbank.com.vn
- Số điện thoại:  024 62 668 668/ 1800 67 77 58 Banking Our Key Skills
Oracle
Security
Database
iOS
SQL
English",hot ng trong lnh vc ngn hng tmcp ti vit nam lpbank tin thn l ngn hng thng mi c phn lin vit lienvietbank c thnh lp theo giy php thnh lp v hot ng s gpnhnn ngy ca thng c ngn hng nh nc vit nam ngy ngn hng nh nc vit nam ra quyt nh s qnhnn cho php ngn hng tmcp lc pht vit nam tn vit tt ting anh thnh lpbank hin nay vi s vn iu l hn t ng mng li ph khp tnh thnh ton quc cng ngun lc mnh m hn nhn s lpbank l mt trong cc ngn hng thng mi c phn ln nht vit nam nn tng cng ngh hin tim lc ti chnh vng mnh v ng nhn s chuyn nghip giu kinh nghim chuyn mn cng vi tinh thn nhit huyt lpbank ang trn ng xy dng tr thnh ngn hng thng mi c phn hng u v hng ti pht trin thnh mt tp dch v ti chnh ngn hng ln mnh ca vit nam lpbank lun coi ngun nhn lc l yu t ct li v l ti sn qu gi ca ngn hng v vy lpbank khng ch m bo mt cng vic m cao hn l mt s nghip vi nhng ai n vi ngn hng bng tinh thn hc hi tinh thn phn u xy dng v n lc cng hin thng tin chi tit khu hiu ngn hng ca mi ngi ngy thnh lp s ng k tr s chnh lpb tower trn quang khi trng tin hon kim h ni lnh o nguyn c thy ch tch hqt h nam tin tng gim c email tuyendunglpbankcomvn s thoi banking key oracle security database ios sql english
Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),"Hơn cả ngân hàng, đó là dịch vụ chuyên nghiệp!
Ngân Hàng TMCP Thịnh vượng và Phát triển",Banking,"Our Key Skills
HTML5
.NET
JavaScript
iOS
Android
Java
Oracle, SQL, SAP Business Object, PL/SQL Core banking","Hơn cả ngân hàng, đó là dịch vụ chuyên nghiệp!
Ngân Hàng TMCP Thịnh vượng và Phát triển Banking Our Key Skills
HTML5
.NET
JavaScript
iOS
Android
Java
Oracle, SQL, SAP Business Object, PL/SQL Core banking",hn c ngn hng l dch v chuyn nghip ngn hng tmcp thnh vng v pht trin banking key html net javascript ios android java oracle sql sap business object plsql core banking
